瘤开,傈眉,1林,2林,3林,4林,5林,6林,7林,8林,9林,10林,11林,12林,13林,14林,15林,16林,17林,18林,19林,20林,21林,22林,23林,24林,25林,26林,27林,28林,29林,30林,31林,32林,33林,34林,35林,36林,37林,38林,39林,40林,41林,42林,43林,44林,45林,46林,47林,48林,49林,50林,51林
傈惫,47500,17,17,24,18,18,32,14,9,11,19,16,12,11,29,18,80,54,83,132,130,206,396,474,759,1223,1598,2087,2849,3378,1718,1026,937,809,861,787,831,1012,545,1012,1056,1158,1559,1798,1753,2101,2248,2508,2285,2432,2139,1860
辑匡,5954,3,1,0,1,0,1,0,0,0,0,1,1,1,0,0,3,1,3,8,5,14,20,27,52,113,188,248,358,495,288,179,155,137,142,158,127,144,75,160,172,189,241,254,209,262,273,239,246,238,194,194
何魂,2777,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,33,11,3,9,7,16,25,24,25,18,37,66,100,161,70,31,58,30,38,43,42,52,28,68,73,83,117,110,131,131,148,207,189,191,154,138
措备,2446,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,4,17,35,9,7,17,27,31,22,19,31,22,33,23,39,56,24,60,65,68,88,95,108,172,167,231,212,239,216,180
牢玫,4329,0,1,1,1,1,0,0,0,3,1,1,1,0,0,0,1,0,3,4,4,6,27,65,121,180,284,317,425,501,200,105,100,73,93,78,59,97,46,78,83,83,128,138,78,108,110,128,136,162,109,115
堡林,851,0,1,2,0,0,1,0,1,0,1,0,0,2,1,0,1,3,0,2,5,12,18,10,18,26,48,57,44,43,36,20,22,12,18,14,17,16,16,17,13,22,34,32,26,23,22,36,35,31,43,29
措傈,1234,0,0,1,0,1,1,0,1,0,3,1,0,0,1,0,6,2,3,2,1,4,11,9,19,24,48,41,72,78,59,44,46,46,47,34,32,38,24,24,32,28,26,31,28,40,59,57,54,54,45,37
匡魂,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,3,4,9,23,6,1,2,2,4,2,8,1,4,2,12,27,29,23,36,51,52,52,47,63,61,56
版扁,14196,2,1,3,4,2,5,0,2,1,2,7,2,0,3,6,15,5,14,30,32,34,81,135,251,401,410,581,935,1037,582,336,288,245,272,258,298,344,207,365,362,346,434,548,502,629,678,798,663,677,550,452
碍盔,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,27,88,51,38,34,26,8,8,14,8,5,7,5,14,10,31,27,27,30,52,108,122,99,94,114,138,156,110
面合,765,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,22,22,22,32,30,27,45,61,32,13,18,21,21,8,8,17,8,22,16,23,22,19,30,27,29,37,26,20,15,24
面巢,1858,0,1,2,0,1,1,0,0,1,0,1,0,0,3,1,1,4,0,1,5,2,2,3,11,16,36,28,58,71,37,22,19,28,18,18,17,22,10,20,26,35,47,60,122,153,157,164,123,154,150,131
傈合,1316,0,1,0,1,0,1,1,0,0,0,0,1,0,1,2,2,0,0,3,3,3,4,3,8,36,70,98,109,116,48,47,34,37,23,21,23,31,14,19,16,31,33,34,38,41,66,46,49,56,50,64
傈巢,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,11,6,20,20,9,20,19,49,70,111,125,67,50,37,32,24,21,21,20,6,23,34,36,125,212,131,97,102,88,81,89,87,64
版合,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,2,7,13,29,2,24,43,52,95,163,174,68,35,37,34,44,21,60,74,32,48,52,72,76,72,69,78,114,133,115,104,88,60
版巢,4115,12,10,14,11,13,22,13,5,5,12,4,7,6,15,9,17,22,42,54,51,65,132,144,123,192,201,252,275,332,143,87,52,59,60,57,45,61,35,54,55,64,101,86,103,112,122,136,130,128,134,142
力林,962,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,2,24,84,147,81,102,52,28,18,23,13,22,30,22,6,19,14,12,23,24,22,28,26,30,29,24,22,19
技辆,398,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,1,6,0,6,2,0,3,0,2,4,12,5,8,12,27,24,32,36,64,65,45
固惑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
